rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
800,1108300348,C2000020,C2000020,여주우회도로 개설공사,S,서울청,037,국도 37호선(거창 ~ 파주),경기도 여주시,B,지역간선,08,2000-02-03,2005-03-26,20050326,1,완료공사,101,도로,경기도 여주군 여주읍 홍문리~경기도 여주군 대신면 가산리
801,1108300348,C2007074,C2007083,여주제 개수공사,S,서울청,A1,한강,경기도 여주시,A1,한강,01,2007-12-28,2010-12-31,20101231,1,완료공사,102,하천,경기도 여주군 하리~상리
802,2248301909,C2003140,C2003140,연곡-두능,W,원주청,,,강원도 강릉시,A,일반국도,미등록,2004-12-02,2016-12-31,20161231,1,완료공사,101,도로,연곡~두능
803,1108300348,C2005054,C2005058,연곡1제외 3개소 개수공사,S,서울청,A1,한강,경기도 포천시,R1,임진강,03,2005-09-09,2010-12-31,20101231,1,완료공사,102,하천,포천시이동면 연곡리~이동면 장암리
804,2248301909,C2000024,C2000025,연당-영월간 도로확장 및 포장공사,W,원주청,038,국도 38호선(서산 ~ 동해),강원도 영월군,B,지역간선,07,1998-02-04,2004-12-24,20041224,1,완료공사,101,도로,연당~영월
805,1108300348,C2004041,C2004041,연천-신탄리 도로건설공사(제1공구),S,서울청,003,국도 3호선(남해 ~ 초산 (철원)),경기도 연천군,A,일반국도,00,2004-11-19,2017-06-30,20170630,1,완료공사,101,도로,연천읍 동막리~신서면 도신리
806,2248301909,C2003111,C2003111,연하-신동 도로건설공사,W,원주청,038,국도 38호선(서산 ~ 동해),강원도 정선군,B,지역간선,10,2002-06-18,2007-08-11,20070811,1,완료공사,101,도로,강원도 영월군 연하리~강원도 정선군 신동읍
807,4038301161,C2014007,C2014020,염산-백수 도로건설공사,I,익산청,077,국도 77호선(부산 ~ 인천),전라남도 영광군,A,일반국도,01,2014-02-17,2019-12-31,20190121,1,완료공사,101,도로,영광군 염산면 두우리~영광군 백수읍 하사리
808,4038301161,C2007083,C2007056,영광-대산 도로확장공사,I,익산청,023,국도 23호선(강진 ~ 천안),전라남도 영광군,A,일반국도,01,,,,1,완료공사,101,도로,전남 영광군 영광읍~전북 고창군 대산면
809,4038301161,C1996006,C1996006,영광-해보 도로확장 및 포장공사,I,익산청,022,국도 22호선(정읍 ~ 순천),전라남도 영광군,B,지역간선,08,1996-12-31,2005-12-31,20051231,1,완료공사,101,도로,전남 영광군 영광읍 학정리~광주광역시 광산구 삼거동
810,4038301161,C2012061,C2012069,영광-해제 도로건설공사,I,익산청,077,국도 77호선(부산 ~ 인천),전라남도 영광군,A,일반국도,01,2012-09-20,2019-12-20,20190814,1,완료공사,101,도로,전남 무안군 해제면 송석리~전남 영광군 염산면 봉남리
811,6048300784,C2021005,C2021003,영남 남부권 국도터널 통합관리센터 구축공사(건축),B,부산청,,,,A,일반국도,01,2020-12-10,2022-11-29,20221129,0,진행공사,101,도로,~
812,6048300784,C2021003,C2021001,영남 남부권 국도터널 통합관리센터 구축공사(정보통신),B,부산청,,,,A,일반국도,00,2020-12-29,2023-12-13,20231213,0,진행공사,101,도로,~
813,6048300784,C2021020,C2021004,영남 북부권 국도터널 통합관리센터 구축공사(건축),B,부산청,,,,A,일반국도,00,2020-12-10,2022-11-29,20221129,0,진행공사,101,도로,~
814,6048300784,C2021018,C2021002,영남 북부권 국도터널 통합관리센터 구축공사(정보통신),B,부산청,,,,A,일반국도,00,2020-12-29,2023-12-13,20231213,0,진행공사,101,도로,~
815,6048300784,C2007003,C2007003,영남권 물류기지 진입도로 건설공사,B,부산청,004,국도 4호선(군산 ~ 경주),경상북도 칠곡군,A,일반국도,미등록,2007-02-07,2009-11-14,20091114,1,완료공사,101,도로,"경상북도 칠곡군
~경상북도 칠곡군
"
816,6048300784,C1995002,C1995002,영덕~성내간(영덕측) 도로4차선 확장 및 포장공사,B,부산청,007,국도 7호선(부산 ~ 온성 (간성)),경상북도 영덕군,A,일반국도,01,1995-12-30,2005-12-28,20051228,1,완료공사,101,도로,"경북 영덕군 축산면
~경북 영덕군 병곡면
"
817,3068301763,C2009041,C2009040,영동-용산 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 영동군,A,일반국도,00,2009-04-20,2016-10-17,20161017,1,완료공사,101,도로,충북 영동군 영동읍 부용리~충북 영동군 영동읍 설계리
818,3068301763,C2007005,C2007004,영동-추풍령(제1공구)도로건설공사,D,대전청,004,국도 4호선(군산 ~ 경주),충청북도 영동군,A,일반국도,미등록,2007-02-07,2017-03-08,20170308,1,완료공사,101,도로,충북 영동군 영동읍 부용리~충북 영동군 영동읍 가리
819,3068301763,C2007009,C2007008,영동-추풍령(제2공구) 도로건설공사,D,대전청,004,국도 4호선(군산 ~ 경주),충청북도 영동군,A,일반국도,00,2007-02-01,2016-11-15,20161115,1,완료공사,101,도로,충청북도 영동군 영동읍 가리~충청북도 영동군 황간면 광평리
820,3068301763,C2016030,C2016028,영동~보은 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 옥천군,A,일반국도,01,2016-08-30,2023-07-24,20230724,0,진행공사,101,도로,충북 영동군 용산면 상용리~충북 옥천군 청성면 능월리
821,3068301763,C2018037,C2018041,영동~용산1-1 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 영동군,A,일반국도,01,2021-01-25,2022-01-19,20220119,1,완료공사,101,도로,충청북도 영동군 영동읍 설계리 산 21-28~충청북도 영동군 영동읍 설계리 산 12-9
822,3068301763,C2021012,C2021012,영동~용산1-2 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 영동군,A,일반국도,01,2021-02-01,2026-01-05,20260105,0,진행공사,101,도로,충청북도 영동군 대학로 310 유원(U1)대학교~충청북도 영동군 빙벽장길 13 박달휴계소
823,3068301763,C2005030,C2005011,영동지구 시항·유점천 개수공사,D,대전청,C1,금강,충청북도 영동군,Z1,기타,03,2005-09-16,2012-01-07,20111230,1,완료공사,102,하천,충북 영동군 학산면 범화리~충북 영동군 학산면 유점리
824,4038301161,C2005020,C2005030,영산강 다시제 외 1개지구 보강공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2005-05-23,2009-12-21,20091221,1,완료공사,102,하천,나주 다시 죽산~나주 다시 가흥
825,4038301161,C2009007,C2009011,영산강 몽탄제 외 3개소 보강공사,I,익산청,E1,영산강,전라남도 무안군,E1,영산강,01,2009-02-09,2012-01-26,20120320,1,완료공사,102,하천,"무안군 몽탄면 사창리,나주시 동강면 곡천리~무안군 몽탄면 몽강리, 나주시 동강면 옥정리"
826,4038301161,C2010011,C2010014,영산강 살리기 4공구(나주2지구) 사업,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2010-03-29,2012-04-24,20120424,1,완료공사,102,하천,전남 나주시 운곡동 만봉천 합류부~전남 나주시 영산동 영산천 합류전
827,4038301161,C2010009,C2010011,영산강 살리기 5공구(나주3지구) 사업,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2010-03-22,2012-04-28,20120310,1,완료공사,102,하천,지석천 합류점~삼도동(나주대교)
828,4038301161,C2010012,C2010012,영산강 살리기 9공구(함평3지구) 사업,I,익산청,E1,영산강,전라남도 함평군,E1,영산강,01,2010-04-06,2013-06-05,20130605,1,완료공사,102,하천,함평군 학교면 월산리~함평군 엄다면 영흥리
829,4038301161,C2009075,C2009087,영산강 살리기 함평1지구 생태하천 조성사업,I,익산청,E1,영산강,전라남도 함평군,E1,영산강,미등록,2009-07-31,2011-12-31,20111231,1,완료공사,102,하천,전남 함평군 대동면 덕산리~전남 함평군 함평읍 기각리
830,4038301161,C2004127,C2004128,영산강 왕곡제 보강공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2004-12-23,2010-12-31,20101231,1,완료공사,102,하천,전남 나주시 진포동~전남 나주시 왕곡면 송죽리
831,4038301161,C2004147,C2004148,영산강 향교제외 3개지구 보강공사,I,익산청,E1,영산강,전라남도 담양군,E1,영산강,03,2004-12-06,2008-11-26,20081126,1,완료공사,102,하천,~
832,4038301161,C2009080,C2009094,영산강살리기 2공구(다시지구)사업,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,미등록,2009-10-16,2012-05-06,20120506,1,완료공사,102,하천,나주시 동강면 운산리~나주시 오량동
833,4038301161,C2009088,C2009102,영산강살리기 3공구(나주1지구)사업,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2009-11-16,2012-05-22,20120522,1,완료공사,102,하천,전남 나주시 오량동~나주시 운곡동
834,4038301161,C2009085,C2009097,영산강살리기6공구(서창지구)사업,I,익산청,E1,영산강,광주광역시 남구,E1,영산강,미등록,2009-10-16,2012-05-01,20120501,1,완료공사,102,하천,전남 나주시 금천면 신가리~광주광역시 서구 치평동~광주광역시 남구 승촌동~광산구 우산동
835,4038301161,C2005025,C2005033,영산강상류(노안제등) 배수문보강공사,I,익산청,E1,영산강,전라남도 담양군,E1,영산강,01,2005-06-13,2010-12-31,20101124,1,완료공사,102,하천,광주광역시남구양촌동~전남담양군담양읍금월리
836,4038301161,C2003093,C2003093,영산강수계 치수사업 송림제2차 개수공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,03,2003-07-08,2006-07-07,20060707,1,완료공사,102,하천,~
837,4038301161,C2003097,C2003097,영산강수계 치수사업 지석천 기존제방 보축2차공사,I,익산청,E1,영산강,전라남도 화순군,E1,영산강,03,2003-06-04,2006-06-03,20070603,1,완료공사,102,하천,신덕교~A-LINE도로
838,4038301161,C2003074,C2003074,영산강수계 치수사업 평림천 홍정제 2차 개수공사,I,익산청,E1,영산강,전라남도 장성군,E1,영산강,03,2003-05-02,2006-11-18,20061118,1,완료공사,102,하천,~
839,4038301161,C2002058,C2002058,영산강수계 치수사업 평지제2차 개수공사,I,익산청,E1,영산강,전라남도 담양군,E1,영산강,03,2002-06-10,2005-08-06,20050806,1,완료공사,102,하천,~
840,4038301161,C2005024,C2005032,영산강수계치수사업 삼천천 삼천제개수공사,I,익산청,E1,영산강,전라남도 담양군,E1,영산강,01,2005-05-19,2008-05-03,20080503,1,완료공사,102,하천,담양군 창평면 용수리~담양군 창평면 오강리
841,4038301161,C2004185,C2004192,영산강수계치수사업 정천 정천제 개수공사,I,익산청,E1,영산강,전라남도 화순군,E1,영산강,미등록,2007-12-14,2010-11-28,20101128,1,완료공사,102,하천,지월리~천태리
842,4038301161,C2009012,C2009017,영산지구 생태하천 조성공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2009-03-09,2012-03-09,20120322,1,완료공사,102,하천,전남 나주시 죽림동~전남 나주시 송월동
843,6048300784,C2017046,C2017048,영양-평해 국도건설공사,B,부산청,088,국도 88호선(영양 ~ 울진),경상북도 울진군,A,일반국도,01,2017-09-13,2023-08-12,20230812,0,진행공사,101,도로,경북 울진 온정면 선구리~경북 울진 평해읍 평해리
844,2248301909,C2005076,C2005080,영월 - 방림 (Ⅱ) 도로 건설 공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 평창군,B,지역간선,05,2006-02-08,2017-04-30,20151231,1,완료공사,101,도로,영월군 북면 연덕리~평창군 평창읍 유동리
845,2248301909,C1998018,C1998018,영월-덕포간 도로확장 및 포장공사,W,원주청,038,국도 38호선(서산 ~ 동해),강원도 영월군,B,지역간선,07,1998-01-30,2004-12-24,20041224,1,완료공사,101,도로,영월~덕포
846,2248301909,C2009072,C2009085,영월-방림(1) 도로건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 평창군,A,일반국도,00,2009-04-15,2018-12-31,20181231,1,완료공사,101,도로,평창군 평창읍 유동리~평창읍 방림면 방림리
847,2248301909,C2007017,C2007014,영월중동우회외 2개소 도로건설공사,W,원주청,031,국도 31호선(부산 ~ 신고산),강원도 영월군,A,일반국도,00,2007-02-27,2017-12-31,20171231,1,완료공사,101,도로,강원도 영월군 중동면~강원도 정선군 북면
848,3068301763,C2009052,C2009069,영인-팽성 도로건설공사,D,대전청,043,국도 43호선(연기 ~ 고성),충청남도 아산시,B,지역간선,06,2009-05-06,2016-12-31,20161231,1,완료공사,101,도로,충남 아산 영인~경기 평택 청북
849,6048300784,C1997006,C1997006,영주-감천간 도로 확장 및 포장공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 영주시,B,지역간선,09,1997-12-24,2005-06-30,20050630,1,완료공사,101,도로,경상북도 영주시 가흥동~경상북도 예천군 감천면 포리
850,6048300784,C2009029,C2009039,영주시관내 국도대체우회도로(가흥-상망)건설공사,B,부산청,036,국도 36호선(대천 ~ 울진),경상북도 영주시,D,국도대체우회도로,미등록,2009-03-04,2018-12-31,20180831,1,완료공사,101,도로,경북 영주시 가흥동~경북 영주시 상망동
851,6048300784,C2014004,C2014005,영천-삼창 국도건설공사,B,부산청,035,국도 35호선(부산 ~ 강릉),경상북도 영천시,A,일반국도,00,2013-10-15,2020-04-19,20190913,1,완료공사,101,도로,경상북도 영천시 오미동 오미교차로~경상북도 영천시 화남면 금호리
852,6048300784,C2009066,C2009079,영천지구생태하천조성사업,B,부산청,B1,낙동강,경상북도 영천시,B1,낙동강,01,2009-03-23,2013-06-06,20130606,1,완료공사,102,하천,조교동~금호읍
853,3068301763,C2003054,C2003054,예당지구 개수공사,D,대전청,G1,삽교천,충청남도 홍성군,G1,삽교천,03,2003-05-30,2006-05-30,20060530,1,완료공사,102,하천,~
854,3068301763,C2002024,C2002024,예산-신양 도로건설공사,D,대전청,032,국도 32호선(서산 ~ 대전),충청남도 예산군,A,일반국도,01,2002-10-16,2008-12-31,20081231,1,완료공사,101,도로,충남 예산군 대술면 시산리~충남 예산군 신양면 신양리
855,3068301763,C2012013,C2012006,예산지구 하천환경정비사업,D,대전청,Z1,기타,충청남도 예산군,Z1,기타,미등록,2011-12-30,2016-12-02,20161202,1,완료공사,102,하천,충남 예산군 오가면 원평리~충남 예산군 신암면 탄중리
