rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
969,4038301161,C1999008,C1999008,전주시관내 국도대체 우회도로(구이-이서)건설공사,I,익산청,027,국도 27호선(고흥 ~ 군산),전라북도 전주시 완산구,D,국도대체우회도로,00,1999-05-18,2006-12-31,20061231,1,완료공사,101,도로,전북 완주군 구이면 두현리~전북 완주군 이서면 상개리
970,4038301161,C2001021,C2001021,전주시관내 국도대체 우회도로(이서-용정)건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 완주군,D,국도대체우회도로,00,2001-12-31,2006-12-04,20061204,1,완료공사,101,도로,전북 완주군 이서면 상개리~전주시 덕진구 용정동
971,4038301161,C2006019,C2006019,전주시관내 국도대체우회도로(용정-용진)건설공사,I,익산청,021,국도 21호선(전주 ~ 이천),전라북도 전주시 덕진구,A,일반국도,00,2006-06-27,2019-06-30,20190630,1,완료공사,101,도로,전북 전주시 덕진구 용정동~전북 완주군 용진면
972,4038301161,C2016029,C2016029,전주시관내 국도대체우회도로(용진-우아1) 건설공사,I,익산청,021,국도 21호선(전주 ~ 이천),전라북도 완주군,A,일반국도,01,2016-10-20,2023-09-13,20230913,0,진행공사,101,도로,전북완주군용진읍용흥리~전북전주시덕진구산정동
973,4038301161,C2019013,C2019007,전주시관내 국도대체우회도로(용진-우아2)건설공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라북도 전주시 덕진구,A,일반국도,00,2019-07-01,2026-05-24,20260524,0,진행공사,101,도로,전라북도 전주시 덕진구 산정동~전라북도 전주시 덕진구 색장동
974,4038301161,C1998016,C1998016,전주시관내국도대체우회도로(상관-구이)건설공사,I,익산청,021,국도 21호선(전주 ~ 이천),전라북도 완주군,D,국도대체우회도로,00,1998-03-20,2005-03-31,20050331,1,완료공사,101,도로,전북 완주군 상관면~전라북도 완주군 구이면
975,4038301161,C2019024,C2019027,전주천 전주지구 하천환경정비사업,I,익산청,J1,동진강,전라북도 전주시 덕진구,Z1,기타,미등록,2019-12-02,2022-11-15,20221115,0,진행공사,102,하천,전라북도 전주시 덕진구 덕진동~전라북도 전주시 덕진구 고랑동
976,2248301909,C2006041,C2006043,전천 수해복구공사,W,원주청,,,강원도 강릉시,미등록,,미등록,2006-12-13,2007-12-31,20071231,1,완료공사,102,하천,~
977,2248301909,C2005080,C2005084,전천제 축제공사,W,원주청,Z1,기타,강원도 횡성군,A1,한강,03,2005-12-12,2013-06-13,20130613,1,완료공사,102,하천,횡성군 횡성읍 입석리~횡성군 횡성읍 추동리
978,4038301161,C2017010,C2017015,정읍 태인-산내 도로시설 개량공사,I,익산청,030,국도 30호선(부안 ~ 대구),전라북도 정읍시,A,일반국도,01,2017-03-06,2021-06-30,20220207,1,완료공사,101,도로,옹동면 매정리~칠보면 시산리
979,4038301161,C2005064,C2005068,정읍-신태인(1공구) 도로건설공사,I,익산청,029,국도 29호선(보성 ~ 서산),전라북도 정읍시,A,일반국도,00,2005-12-15,2013-12-24,20131224,1,완료공사,101,도로,전북 정읍시 용계동~전북 정읍시 영원면 후지리
980,4038301161,C2012025,C2012022,정읍-신태인(2공구) 도로건설공사,I,익산청,029,국도 29호선(보성 ~ 서산),전라북도 정읍시,A,일반국도,01,2012-03-20,2020-06-30,20190211,1,완료공사,101,도로,전북 정읍시 영원면 후지리~전북 부안군 백산면 평교리
981,4038301161,C2005062,C2005066,정읍-원덕 (1공구)도로건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라남도 장성군,A,일반국도,00,2005-12-27,2017-02-03,20170203,1,완료공사,101,도로,전남 장성군 북하면 용두리~전남 장성군 북이면 원덕리
982,4038301161,C2005061,C2005065,정읍-원덕(2공구) 도로건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 정읍시,A,일반국도,00,2005-12-23,2016-09-30,20160930,1,완료공사,101,도로,전남 장성군 북이면 원덕리~전북 정읍시 신월동
983,4038301161,C1997024,C1997024,정읍-태인,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 정읍시,B,지역간선,07,1997-12-31,2005-12-23,20051223,1,완료공사,101,도로,전라북도 정읍시~전라남도 광양시 태인동
984,4038301161,C2018014,C2018015,정읍시관내 국도대체우회도로(농소-하모)건설공사,I,익산청,029,국도 29호선(보성 ~ 서산),전라북도 정읍시,A,일반국도,00,2018-04-09,2023-03-13,20230313,0,진행공사,101,도로,전라북도 정읍시 용계동~전라북도 정읍시 하모동
985,4038301161,C2005068,C2005072,정읍시관내 국도대체우회도로(삼산-금붕) 건설공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라북도 정읍시,D,국도대체우회도로,00,2005-02-25,2013-12-31,20131231,1,완료공사,101,도로,전북 정읍시 신월동~전북 정읍시 금붕동
986,4038301161,C2009008,C2009012,정읍지구 생태하천 조성공사,I,익산청,Z1,기타,전라북도 정읍시,Z1,기타,01,2009-02-13,2013-12-23,20131223,1,완료공사,102,하천,전북 정읍시 농소동 사금보~전북 정읍시 시기동(상동교하류)
987,4038301161,C2016008,C2016004,정읍천 오금지구(1공구) 하천환경정비사업,I,익산청,J1,동진강,전라북도 정읍시,미등록,,미등록,2016-02-22,2020-12-31,20210219,1,완료공사,102,하천,정읍시 이평면 하송리~정읍시 농소동
988,4038301161,C2003094,C2003094,정읍천 하도정비공사,I,익산청,J1,동진강,전라북도 정읍시,E1,영산강,03,2003-06-18,2009-12-31,20091231,1,완료공사,102,하천,정읍시 덕천면 달천리~신태인읍 신용리
989,4038301161,T2001001,C2001030,제2진도대교 가설공사,I,익산청,018,국도 18호선(진도 ~ 구례),전라남도 진도군,A,일반국도,00,2001-12-27,2006-03-26,20060326,1,완료공사,101,도로,전남 진도군 군내면 녹진리~전남 해남군 문내면 학동리
990,3068301763,C2019011,C2019015,제천시 국도대체우회도로(도화~송학) 건설공사,D,대전청,038,국도 38호선(서산 ~ 동해),충청북도 제천시,A,일반국도,01,2019-03-18,2023-02-24,20230224,0,진행공사,101,도로,충청북도 제천시 송학면 도화리 287~충청북도 제천시 송학면 무도리 532-1
991,6048300784,C2015021,C2015040,주상-한기리1 국도건설공사,B,부산청,003,국도 3호선(남해 ~ 초산 (철원)),경상남도 거창군,A,일반국도,01,2015-04-30,2022-03-23,20220323,0,진행공사,101,도로,경남 거창군 주상면 성기리~경남 거창군 웅양면 산포리
992,6048300784,C2015020,C2015041,주상-한기리2 국도건설공사,B,부산청,003,국도 3호선(남해 ~ 초산 (철원)),경상남도 거창군,A,일반국도,01,2015-04-30,2022-03-23,20220323,0,진행공사,101,도로,경남 거창군 웅양면 산포리~경북 김천시 대덕면 화전리
993,3068301763,C1996008,C1996008,증평-괴산간 도로확장 및 포장공사,D,대전청,034,국도 34호선(당진 ~ 영덕),충청북도 증평군,B,지역간선,06,1996-12-31,2004-11-12,20041112,1,완료공사,101,도로,충청북도 증평군~충청북도 괴산군
994,2248301909,C1999022,C1999022,지경-김화간 도로확장 및 포장공사,W,원주청,043,국도 43호선(연기 ~ 고성),강원도 철원군,A,일반국도,01,1999-04-14,2006-11-23,20061123,1,완료공사,101,도로,강원도 철원군 갈말읍 지경리~강원도 철원군 김화읍 청양리
995,4038301161,C2013515,C2013559,지도-임자 도로건설공사,I,익산청,024,국도 24호선(신안 ~ 울산),전라남도 신안군,A,일반국도,01,2013-10-28,2021-03-21,20200920,1,완료공사,101,도로,전남 신안군 임자면 진리~전남 신안군 지도읍 감정리
996,4038301161,C2009013,C2009018,지석지구 생태하천 조성공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,미등록,2009-02-09,2011-11-14,20120125,1,완료공사,102,하천,남평읍 수원리~남평읍 평산리
997,4038301161,C2012065,C2012072,지석천 나주1지구 생태하천조성사업,I,익산청,E1,영산강,전라남도 나주시,Z1,기타,01,2012-12-03,2016-12-22,20161226,1,완료공사,102,하천,금천면 신가리~산포면 덕례리
998,4038301161,C2013003,C2013004,지석천 나주2지구 생태하천조성사업,I,익산청,E1,영산강,전라남도 나주시,Z1,기타,01,2012-12-07,2017-11-10,20171110,1,완료공사,102,하천,"남평읍 오계리~남평읍 남평리, 동강면 옥정리일원"
999,4038301161,C2004131,C2004132,지석천 남석제외 3개지구 보강공사,I,익산청,E1,영산강,전라남도 나주시,E1,영산강,01,2004-12-23,2012-05-12,20120512,1,완료공사,102,하천,나주시남평읍남석리~나주시금천면신가리
1000,4038301161,C2004130,C2004131,지석천 능주2제 외 1개지구 보강공사,I,익산청,E1,영산강,전라남도 화순군,E1,영산강,03,2004-12-09,2006-11-28,20061128,1,완료공사,102,하천,~
1001,4038301161,C2012057,C2012060,지석천 도곡지구 하천환경정비사업,I,익산청,Z1,기타,전라남도 화순군,E1,영산강,01,2012-07-12,2015-12-31,20151231,1,완료공사,102,하천,전라남도 화순군 능주면~전라남도 화순군 도곡면
1002,4038301161,C2005023,C2005031,지석천 천덕제 외 4개지구 보강공사,I,익산청,Z1,기타,전라남도 화순군,Z1,기타,01,2005-06-08,2011-12-30,20111231,1,완료공사,102,하천,전남 화순군 능주면 석고리~전남 화순군 춘양면 우봉리
1003,4038301161,C2017049,C2017054,지석천 춘양지구 하천환경정비사업,I,익산청,E1,영산강,전라남도 화순군,E1,영산강,01,2017-11-08,2020-10-22,20201022,1,완료공사,102,하천,전라남도 화순군 능주면 관영리 230-11~전라남도 화순군 춘양면 용두리 397-3
1004,4038301161,C2017050,C2017056,지석천 한천지구 하천환경정비사업,I,익산청,E1,영산강,,E1,영산강,01,2017-11-08,2020-10-22,20201022,1,완료공사,102,하천,화순군 능주면 원지리~화순군 능주면 관영리
1005,1108300348,C2009078,C2009091,진관 IC- 사능 도로건설공사,S,서울청,046,국도 46호선(인천 ~ 고성),경기도 남양주시,A,일반국도,00,2009-05-14,2014-04-18,20140419,1,완료공사,101,도로,진건읍 진관리~진건읍 사능리
1006,4038301161,C2017035,C2017031,진도 포산-서망 도로시설개량공사,I,익산청,018,국도 18호선(진도 ~ 구례),전라남도 진도군,A,일반국도,00,2017-04-28,2024-03-21,20240321,0,진행공사,101,도로,전남 진도군 임회면 남동리~진도읍 포산리
1007,6048300784,C2006015,C2006015,진동-마산 국도건설공사,B,부산청,014,국도 14호선(거제 ~ 포항),경상남도 창원시,A,일반국도,00,2006-03-16,2017-04-30,20170430,1,완료공사,101,도로,경남 창원시 마산합포구 진북면 지산리~경남 창원시 마산합포구 진북면 정현리
1008,6048300784,C2000002,C2000002,진동우회도로건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 창원시,A,일반국도,00,2000-03-02,2010-12-27,20101227,1,완료공사,101,도로,경남 창원시 마산합포구 진전면 근곡리~경남 창원시 마산합포구 진동면 인곡리
1009,4038301161,C2009071,C2009083,진상-하동(1공구) 도로건설공사,I,익산청,002,국도 2호선(목포 ~ 부산),전라남도 광양시,A,일반국도,00,2009-07-01,2017-09-29,20170720,1,완료공사,101,도로,전라남도 광양시 진월면 마룡리~경상남도 하동군 하동읍 목도리
1010,4038301161,C2016016,C2016016,진안-성수(2공구) 도로건설공사,I,익산청,030,국도 30호선(부안 ~ 대구),전라북도 진안군,A,일반국도,01,2016-04-04,2021-07-02,20210308,1,완료공사,101,도로,전북 진안군 백운면 덕현리~전북 진안군 마령면 동촌리
1011,1108300348,C2004141,C2004142,진안-신리,S,서울청,043,국도 43호선(연기 ~ 고성),전라북도 진안군,D,국도대체우회도로,00,2004-11-18,2013-04-10,20130410,1,완료공사,101,도로,"수원시 영통동
~화성시 진안IC
"
1012,4038301161,C2009010,C2009014,진안-적상(1공구)도로확장공사,I,익산청,030,국도 30호선(부안 ~ 대구),전라북도 진안군,A,일반국도,01,2009-02-24,2017-12-31,20171231,1,완료공사,101,도로,전북 진안군 진안읍 반월리~전북 진안군 진안읍 운산리
1013,4038301161,C2009016,C2009022,진안-적상(2공구) 도로확장공사,I,익산청,030,국도 30호선(부안 ~ 대구),전라북도 무주군,A,일반국도,01,2009-02-25,2016-12-30,20161230,1,완료공사,101,도로,전북 진안군 안천면 백화리~전북 무주군 적상면 사천리
1014,1108300348,C2019016,C2019009,진위천 진위지구 하천환경정비사업,S,서울청,Z1,기타,경기도 평택시,Z1,기타,미등록,2019-03-18,2024-02-19,20240219,0,진행공사,102,하천,경기도 평택시 서탄면 금암리 95-3~경기도 평택시 오성면 창내리 101-13
1015,1108300348,C2005041,C2005045,진위천 하천정비사업,S,서울청,F1,안성천,경기도 평택시,F1,안성천,01,2005-10-25,2013-12-31,20140109,1,완료공사,102,하천,평택시 서탄면 적봉리 오산천 합류점~평택시 팽성읍 원정리 안성천 합류점
1016,1108300348,C2013940,C2013942,진접-내촌 도로건설공사(1공구),S,서울청,047,국도 47호선(화성 ~ 철원),경기도 남양주시,A,일반국도,01,2013-04-15,2020-12-06,20200110,1,완료공사,101,도로,남양주시 진접읍 장현리~진접읍 진벌리
1017,1108300348,C2014003,C2014004,진접-내촌 도로건설공사(2공구),S,서울청,047,국도 47호선(화성 ~ 철원),경기도 포천시,A,일반국도,01,2019-02-26,2020-12-31,20200220,1,완료공사,101,도로,경기도 남양주시 진접읍 진벌리~포천시 내촌면 내리
1018,6048300784,C1997002,C1997002,진주-완사 도로4차선 확장 및 포장공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 진주시,B,지역간선,09,1997-12-17,2006-12-31,20061231,1,완료공사,101,도로,경상남도 사천시 곤명면 봉계리~경상남도 진주시 내동면 독산리
1019,6048300784,C1996001,C1996001,진주-집현간 도로4차선 확장 및 포장공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상남도 진주시,B,지역간선,08,1996-12-31,2006-12-31,20061231,1,완료공사,101,도로,경남 진주시 장재동~경남 진주시 집현면 정수리
1020,6048300784,C2020032,C2020014,진주·사천항공 국가산단진입도로 건설공사,B,부산청,999,기타,경상남도 사천시,F,기타,미등록,2020-12-01,2023-05-19,20230519,0,진행공사,101,도로,경상남도 사천시 용현면 통양리 310~경상남도 사천시 용현면 통양리 248
1021,6048300784,C1999003,C1999003,진주시 관내 국도대체우회도로(유곡-정촌) 건설공사,B,부산청,003,국도 3호선(남해 ~ 초산 (철원)),경상남도 진주시,D,국도대체우회도로,00,1999-09-15,2012-06-30,20120630,1,완료공사,101,도로,경남 진주 유곡동~경남 진주 정촌 화개리
1022,6048300784,C2008004,C2008004,진주시관내 국도대체우회도로(정촌-호탄)건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 진주시,D,국도대체우회도로,미등록,2008-03-28,2016-04-05,20160405,1,완료공사,101,도로,경남 진주시 정촌면 화개리~경남 진주시 가좌동
1023,6048300784,C2004075,C2004075,진주시관내 국도대체우회도로(집현-유곡) 건설공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상남도 진주시,D,국도대체우회도로,00,2004-04-10,2015-03-31,20150331,1,완료공사,101,도로,경남 진주시 유곡동~진주시 집현면 봉강리
1024,6048300784,C2020033,C2020032,진주항공 국가산단진입도로 건설공사,B,부산청,999,기타,경상남도 진주시,A,일반국도,01,2020-12-01,2023-11-15,20231115,0,진행공사,101,도로,~
1025,3068301763,C2004062,C2004062,진천-두교리 도로건설공사,D,대전청,017,국도 17호선(여천 ~ 용인),충청북도 진천군,A,일반국도,00,2004-10-01,2012-12-31,20121231,1,완료공사,101,도로,진천군 이월면 신월리~진천군 광혜원면 실원리
1026,3068301763,C2009081,C2009023,진천-증평(제1공구)도로건설공사,D,대전청,034,국도 34호선(당진 ~ 영덕),충청북도 진천군,B,지역간선,06,2009-04-09,2018-02-20,20180220,1,완료공사,101,도로,진천읍 성석리~초평면 용정리
1027,3068301763,C2005072,C2005076,진천-증평(제2공구)도로건설공사,D,대전청,034,국도 34호선(당진 ~ 영덕),충청북도 진천군,B,지역간선,00,2005-12-26,2014-11-14,20141114,1,완료공사,101,도로,충북 진천군 초평면 용정리~충북 증평군 증평읍 송산리
1028,3068301763,C2003041,C2003041,진천IC-금왕(1공구) 도로건설공사,D,대전청,021,국도 21호선(전주 ~ 이천),충청북도 진천군,C,산업지원국도,00,2003-09-25,2012-11-28,20121128,1,완료공사,101,도로,충북 진천군 진천읍 가산리~음성군 맹동면 마산리
1029,3068301763,C2004063,C2004063,진천IC-금왕2 도로건설공사,D,대전청,021,국도 21호선(전주 ~ 이천),충청북도 음성군,C,산업지원국도,00,2004-10-20,2012-12-28,20121228,1,완료공사,101,도로,음성군 맹동면 마산리~음성군 금왕읍 정생리
1030,3068301763,C2002027,C2002027,진천이월 우회도로 건설공사,D,대전청,017,국도 17호선(여천 ~ 용인),충청북도 진천군,A,일반국도,01,2002-09-13,2006-09-12,20060912,1,완료공사,101,도로,충청북도 진천군 이월면 사곡리~충청북도 진천군 이월면 신월리
1031,6048300784,C2005050,C2005053,진해국가산업단지 진입도로 확장공사,B,부산청,031,국도 31호선(부산 ~ 신고산),경상남도 창원시,C,산업지원국도,00,2005-12-29,2016-04-22,20160422,1,완료공사,101,도로,경남 창원시 진해구 죽곡동~경남 창원시 진해구 명동
1032,6048300784,C2003001,C2003001,집현-생비량 국도확장공사,B,부산청,033,국도 33호선(고성 ~ 구미),경상남도 진주시,B,지역간선,08,2002-12-31,2009-12-31,20091231,1,완료공사,101,도로,경상남도 진주시 집현면 정수리~경상남도 산청군 생비량면 가계리
1033,1108300348,C2003099,C2003099,창릉천하천환경정비사업(창릉천개수공사),S,서울청,Z1,기타,경기도 고양시 덕양구,S1,회야강,03,2003-07-22,2008-12-30,20081230,1,완료공사,102,하천,고양시 덕양구 지축동~고양시 덕양구 강매동
1034,2248301909,C2005095,C2005098,창리제 축제공사,W,원주청,Z1,기타,강원도 평창군,A1,한강,03,2005-12-20,2009-12-01,20091201,1,완료공사,102,하천,~
1035,6048300784,C2014015,C2014025,창원동읍-김해한림 국도건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 김해시,A,일반국도,00,2014-03-03,2021-09-24,20210924,1,완료공사,101,도로,김해시 진영읍 진영리~김해시 한림면 퇴래리
1036,6048300784,C2013943,C2013958,창원시관내 국도대체우회도로(귀곡-행암)건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상남도 창원시,A,일반국도,01,2013-06-03,2023-05-02,20201202,0,진행공사,101,도로,창원시 성산구 양곡동~창원시 진해구 석동
1037,6048300784,C2016018,C2016017,창원시관내 국도대체우회도로(제2안민터널) 건설공사,B,부산청,999,기타,경상남도 창원시,A,일반국도,01,2016-04-22,2023-03-16,20230316,0,진행공사,101,도로,창원시 진해구 석동~창원시 성산구 천선동
1038,3068301763,C2020004,C2019040,천안 직산~부성 도로건설공사,D,대전청,001,국도 1호선(목포 ~ 신의주(판문점)),충청남도 천안시,A,일반국도,01,2019-12-27,2023-12-05,20231205,0,진행공사,101,도로,충청남도 천안시 서북구 신당동 22-2~충청남도 천안시 서북구 직산읍 수헐리 85-10
1039,3068301763,C1997021,C1997021,천안-병천간 도로확장 및 포장공사,D,대전청,021,국도 21호선(전주 ~ 이천),충청남도 천안시,B,지역간선,06,1997-12-10,2004-08-13,20040813,1,완료공사,101,도로,충청남도 천안시~충청남도 천안시 병천면
1040,3068301763,C2002031,C2002031,천안시 국도대체 우회도로(소정-배방) 건설공사,D,대전청,043,국도 43호선(연기 ~ 고성),충청남도 천안시,D,국도대체우회도로,00,2002-12-30,2013-07-21,20130630,1,완료공사,101,도로,연기군전의면유천리~아산시배방면갈매리
1041,3068301763,C2009074,C2009086,천안시 국도대체 우회도로(소정-배방2) 건설공사,D,대전청,043,국도 43호선(연기 ~ 고성),충청남도 천안시,D,국도대체우회도로,미등록,2009-07-20,2014-07-29,20140729,1,완료공사,101,도로,세종특별자치시 소정면 소정리 596-7 임~충청남도 천안시 동남구 풍세면 가송리 298-8장
1042,3068301763,C2004174,C2004184,천안시 국도대체우회도로(배방-음봉) 건설공사,D,대전청,043,국도 43호선(연기 ~ 고성),충청남도 아산시,D,국도대체우회도로,00,2004-12-30,2015-03-27,20150327,1,완료공사,101,도로,아산시 배방면 갈매리~아산시 음봉면 송촌리
1043,3068301763,C2017026,C2017024,천안시 국도대체우회도로(서북~성거) 건설공사,D,대전청,001,국도 1호선(목포 ~ 신의주(판문점)),충청남도 천안시,D,국도대체우회도로,미등록,2017-04-19,2024-03-12,20240312,0,진행공사,101,도로,천안시 서북구 신당동~서북구 성거읍 송남리
1044,2248301909,C2004055,C2004055,철원서면 우회도로 건설공사,W,원주청,047,국도 47호선(화성 ~ 철원),강원도 철원군,B,지역간선,05,2004-12-17,2015-12-31,20151231,1,완료공사,101,도로,철원군 서면 자등리~철원군 서면 자등리
1045,4038301161,C2008018,C2008020,첨단산단 진입도로 개설공사,I,익산청,013,국도 13호선(완도 ~ 금산),광주광역시 광산구,A,일반국도,미등록,2009-01-20,2010-12-30,20101230,1,완료공사,101,도로,광주광산구산월동~광주북구연제동
1046,6048300784,C2017037,C2017037,청도-밀양1 국도건설공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상남도 밀양시,A,일반국도,01,2017-05-23,2022-08-10,20200506,0,진행공사,101,도로,경남 밀양시 산외면 남기리~경남 밀양시 상동면 옥산리
1047,6048300784,C2017044,C2017043,청도-밀양2 국도건설공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상북도 청도군,A,일반국도,01,2017-06-26,2022-10-10,20220530,0,진행공사,101,도로,경남 밀양시 상동면 옥산리~경북 청도군 청도읍 신도리
1048,6048300784,C2018035,C2018035,청량-옥동 국도건설공사,B,부산청,,,울산광역시 울주군,A,일반국도,01,2018-11-19,2023-10-23,20231023,0,진행공사,101,도로,울산광역시 울주군 청량읍 문죽리~울산광역시 남구 옥동
1049,6048300784,C2019018,C2018042,청량-옥동 국도건설공사(WBS),B,부산청,,,울산광역시 울주군,A,일반국도,01,2018-11-19,2023-10-23,20231023,0,진행공사,101,도로,울산광역시 울주군 청량읍 문죽리~울산광역시 남구 옥동
1050,1108300348,C2014016,C2014021,청미천 오행지구 하천환경정비사업,S,서울청,Z1,기타,충청북도 음성군,Z1,기타,01,2014-01-06,2015-12-26,20151226,1,완료공사,102,하천,음성군 감곡면 원당리~음성군 감곡면 왕장리
1051,1108300348,C2012030,C2012031,청미천(오남지구)하천환경정비공사,S,서울청,Z1,기타,경기도 이천시,Z1,기타,01,2012-06-04,2017-05-08,20170508,1,완료공사,102,하천,이천시 장호원읍 오남리~여주군 점동면 원부리
1052,1108300348,C2012033,C2012033,청미천(장안지구)하천정비공사,S,서울청,Z1,기타,경기도 여주시,Z1,기타,01,2012-06-04,2017-05-08,20170508,1,완료공사,102,하천,경기도 여주시 점동면 현수리~경기도 여주시 점동면 장안리
1053,1108300348,C2012032,C2012032,청미천(점동지구)하천정비공사,S,서울청,Z1,기타,경기도 여주시,Z1,기타,01,2012-06-04,2017-07-31,20171231,1,완료공사,102,하천,경기도 여주군 점동면 원부리~경기도 여주군 점동면 현수리
1054,1108300348,C2012052,C2012034,청미천구하도복원(노탑지구)사업,S,서울청,Z1,기타,경기도 이천시,Z1,기타,미등록,2012-07-23,2016-03-28,20160417,1,완료공사,102,하천,이천시 장호원읍 노탑리~충북 음성군 감곡면 단평리
1055,1108300348,C2018030,C2018027,청북IC-요당IC 도로확장공사,S,서울청,039,국도 39호선(부여 ~ 의정부),경기도 평택시,A,일반국도,01,2018-09-10,2024-08-08,20240808,0,진행공사,101,도로,경기도 평택시 청북면 현곡리~경기도 화성시 양감면 요당리
1056,6048300784,C2015016,C2015033,청송우회도로 국도건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),경상북도 청송군,A,일반국도,01,2015-03-16,2020-12-16,20200217,1,완료공사,101,도로,경북 청송군 청송읍 청운리~청송군 청송읍 금곡리
1057,6048300784,C2003002,C2003002,청암- 삼장 국도 확장공사,B,부산청,059,국도 59호선(광양 ~ 하동),경상남도 산청군,A,일반국도,01,2003-09-17,2011-01-05,20101231,1,완료공사,101,도로,시천면 원리~삼장면 평촌리
1058,3068301763,C2018028,C2018033,청양-신풍 도로건설공사,D,대전청,039,국도 39호선(부여 ~ 의정부),충청남도 공주시,A,일반국도,01,2018-09-10,2023-08-14,20230814,0,진행공사,101,도로,충남 청양군 정산면~공주시 신풍면
1059,3068301763,C2007016,C2007013,청양-우성(제1공구)도로건설공사,D,대전청,036,국도 36호선(대천 ~ 울진),충청남도 청양군,B,지역간선,05,2007-03-15,2016-12-31,20161231,1,완료공사,101,도로,청양군 대치면 탄정리~청양군 정산면 대박리
1060,3068301763,C2007015,C2007012,청양-우성(제2공구)도로건설공사,D,대전청,036,국도 36호선(대천 ~ 울진),충청남도 공주시,B,지역간선,05,2007-03-15,2016-12-30,20161230,1,완료공사,101,도로,충남 청양군 정산면 대박리~충남 공주시 우성면 단지리
1061,3068301763,C2007063,C2007068,청양-홍성(제1공구) 도로건설공사,D,대전청,029,국도 29호선(보성 ~ 서산),충청남도 청양군,B,지역간선,05,2007-11-12,2016-12-31,20161231,1,완료공사,101,도로,충남 청양군 청양읍 군량리~충남 예산군 광시면 하장대리
1062,3068301763,C2007070,C2007078,청양-홍성(제2공구) 도로건설공사,D,대전청,029,국도 29호선(보성 ~ 서산),충청남도 태안군,B,지역간선,05,2007-11-12,2016-12-31,20161231,1,완료공사,101,도로,충남 예산 광시 하장대리~충남 홍성 홍성 고암리
1063,3068301763,C2003042,C2003042,청양목면 우회도로건설공사,D,대전청,036,국도 36호선(대천 ~ 울진),충청남도 청양군,A,일반국도,00,2003-05-20,2007-12-10,20071210,1,완료공사,101,도로,청양군 목면 대평리~청양군 목면 송암리
1064,3068301763,C1999030,C1999030,청양우회도로 축조 및 포장공사,D,대전청,036,국도 36호선(대천 ~ 울진),충청남도 청양군,A,일반국도,00,1999-11-19,2004-11-30,20041130,1,완료공사,101,도로,충청남도 청양군 청양읍~충청남도 청양군 청양읍
1065,3068301763,C2005029,C2005017,청원지구 기성제 보강공사,D,대전청,Z1,기타,충청북도 청원군,C1,금강,01,2005-09-06,2010-12-24,20110718,1,완료공사,102,하천,~
1066,3068301763,C2017052,C2017058,청주시 관내 국도대체 우회도로(남면-북면) 건설공사,D,대전청,,,,A,일반국도,01,2001-03-06,2016-05-05,20160505,1,완료공사,101,도로,~
1067,3068301763,C2004061,C2004061,청주시 국도대체 우회도로(오동-구성) 건설공사,D,대전청,025,국도 25호선(진해 ~ 청주),충청북도 청주시 상당구,D,국도대체우회도로,00,2004-12-22,2011-04-18,20110418,1,완료공사,101,도로,충북청주시오동동~충북청원군구성리
1068,3068301763,C2009022,C2009033,청주시 국도대체우회도로(북일-남일 1-1공구)건설공사,D,대전청,025,국도 25호선(진해 ~ 청주),충청북도 청원군,D,국도대체우회도로,미등록,2009-03-30,2015-03-29,20141229,1,완료공사,101,도로,청원군 내수읍 묵방리~청원군 내수읍 국동리
1069,3068301763,C2017003,C2017004,청주시 국도대체우회도로(북일-남일1) 건설공사,D,대전청,999,기타,충청북도 청주시 상당구,A,일반국도,01,2017-02-01,2023-12-26,20231226,0,진행공사,101,도로,청주시 상당구 내수읍 국동리~상당구 용정동
1070,3068301763,C2015011,C2015024,청주시 국도대체우회도로(북일~남일2) 건설공사,D,대전청,025,국도 25호선(진해 ~ 청주),충청북도 청주시 상당구,A,일반국도,01,2015-03-20,2022-09-28,20210120,0,진행공사,101,도로,청주시 상당구 용정동~청주시 상당구 남일면 효촌리
1071,3068301763,C2017051,C2017057,청주시 국도대체우회도로(휴암-오동)건설공사,D,대전청,,,,A,일반국도,01,2008-12-05,2016-01-01,20160101,1,완료공사,101,도로,~
