sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2012058,9,2020년,15501000000,12099490870,1262509130,2139000000,2020-01-15,2020-01-15,2020-08-21,218.0
C2012058,8,2019년,31034000000,27997501440,1990498560,1046000000,2019-01-14,2019-01-21,2020-01-15,358.0
C2012058,7,2019년,21571000000,15638000000,4433000000,1500000000,2018-01-12,2018-01-15,2019-01-09,358.0
C2012058,6,2018년,21138000000,16400000000,3540000000,1198000000,2017-01-05,2017-01-09,2018-01-03,358.0
C2012058,5,2016년,21775000000,18801624520,1198375480,1775000000,2016-01-14,2016-01-18,2016-12-22,338.0
C2012058,4,2015년,28179000000,13612266380,1387733620,13179000000,2015-01-23,2015-01-23,2015-12-22,332.0
C2012058,3,2014년,31904000000,4593313094,1006686906,26304000000,2014-02-20,2014-02-20,2014-12-18,300.0
C2012058,2,2014년,21924000000,7470701400,29298600,14424000000,2014-06-19,2013-02-25,2014-07-24,513.0
C2012058,1,2013년,250000000,250000000,0,0,2012-07-13,2012-07-20,2012-12-12,144.0
C2012058,0,전체,194997000000,120592000000,8839000000,65566000000,2012-07-13,2012-07-20,2020-08-21,2953.0
C2012059,9,2021년,34189322380,32705355020,1133776520,350190840,2021-02-05,2020-01-15,2021-04-01,441.0
C2012059,8,2020년,29137000000,26905580740,2231419260,0,2019-12-19,2019-01-21,2020-01-15,358.0
C2012059,7,2019년,26230000000,23442293250,2787706750,0,2018-01-12,2018-01-15,2019-01-09,358.0
C2012059,6,2018년,19554000000,16230723870,1969276130,1354000000,2017-01-17,2017-01-17,2018-01-11,358.0
C2012059,5,2017년,22625000000,19607398000,3017602000,0,2016-01-15,2016-01-18,2017-01-11,358.0
C2012059,4,2015년,21123492000,19367791880,1694208120,61492000,2015-01-23,2015-01-23,2015-12-31,341.0
C2012059,3,2014년,23936000000,4432230580,1318769420,18185000000,2014-02-20,2014-02-20,2014-12-31,313.0
C2012059,2,2014년,22189836000,7330782540,169217460,14689836000,2013-02-22,2013-02-25,2014-10-31,612.0
C2012059,1,2012년,300000000,300000000,0,0,2012-07-09,2012-07-20,2012-12-31,163.0
C2012059,0,전체,200097092730,151136064820,12824509070,36136518840,2012-07-09,2012-07-20,2021-04-01,3176.0
C2002015,9,2013년,89479951016,77556400000,0,11923551016,2009-01-12,2009-02-15,2013-12-20,1768.0
