ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,9973BAC43449409d8D299CA1AEDFDF11,왕전1교,논산~논산,충청남도 논산시 광석면 왕전리,1999-12-01,삼성물산주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,E3EC5C8E00664349967062A30A72283D,항월교,논산~논산,충청남도 논산시 광석면 사월리,1999-12-01,삼성물산주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,2041C3C3C39C4d9bB1C6D295FEF86FA9,원봉교,논산~논산,충청남도 논산시 성동면 원봉리,1999-12-01,삼부토건,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,8EB1BEE265C241bb8C38286E5F2B7EBC,광석교,논산~논산,충청남도 논산시 광석면 천동리,1999-12-01,삼성물산주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,8C4CE5953AAD456eACB744EB33322CB0,산동3교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼성물산,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,3,3종,F5BF128CD45A42ab979CBD9F84578FCD,논산JC1교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,3,3종,D0E3C941AA124c149B965238FE02979F,황하교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,0,기타,03BC87CADEB8435cB049C5C68BF95E4D,논산JC3교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,3,3종,C2D2B657BD28401297937FC393B0C590,갈산1교,논산~논산,충청남도 논산시 광석면 갈산리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,0,기타,D652CA7318F04995AB15708F41665D18,갈산2교,논산~논산,충청남도 논산시 광석면 갈산리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,0,기타,4295A967245D427d8C670A30C4E922C6,논산JC2교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼부토건,
31,논산국토관리사무소,31004,일반국도4호선,1,교량,3,3종,FC5EA59B04AD4a588F4D17ED92C6E065,대미교,논산~논산,충청남도 논산시 광석면 산동리,1999-12-01,삼부토건,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,1E4CFAD10EA54b7bBCB6139589C7526E,봉명교,공주~공주,충청남도 공주시 계룡면 봉명리,1999-12-01,영풍산업㈜,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,2,2종,DFFC6EB9FAA64b859F3134B302FB8933,동학교,공주~공주,충청남도 공주시 계룡면 상성리,1999-12-01,중도산업㈜,
22,강릉국토관리사무소,22007,일반국도7호선,1,교량,1,1종,E673B64272E71C52E034080020A9316A,월천교(하),삼척 원덕~삼척 근덕,강원도 삼척시 원덕읍 월천리,1999-12-01,,
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B64273201C52E034080020A9316A,상평육교,옥천~양평,경기도 양평군 양평읍 양근리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,3,3종,E673B64273211C52E034080020A9316A,덕평육교,옥천~양평,경기도 양평군 양평읍 덕평리,1999-11-30,현대중공업,양평~용문 확-포장공사
32,충주국토관리사무소,32036,일반국도36호선,1,교량,3,3종,3885FC4034EB444a99B65D75FF92D351,신당2교,살미삼거리~단성,충청북도 충주시 살미면 신당리,1999-11-30,대부건설㈜,-
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B6425EC01C52E034080020A9316A,대흥1육교,양평~용문,경기도 양평군 양평읍 대흥리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,3,3종,E673B642731F1C52E034080020A9316A,덕평2교,옥천~양평,경기도 양평군 양평읍 덕평리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,3,3종,E673B64273261C52E034080020A9316A,대흥교,양평~용문,경기도 양평군 양평읍 대흥리,1999-11-30,현대중공업,양평~용문 확-포장공사
